Unnamed: 0;lat;long;bm_dens;bm_size;bm_dead
5012;56.95195582;8.943549;0;0;0
5013;56.95194685;8.943549;0;0;0
5014;56.95193787;8.943549;0;0;0
5015;56.9519289;8.943549;0;0;0
5016;56.95191992;8.943549;0;0;0
5017;56.95191094;8.943549;0;0;0
5018;56.95190197;8.943549;0;0;0
5019;56.95189299;8.943549;0;0;0
5020;56.95188402;8.943549;0;0;0
5021;56.95187504;8.943549;0;0;0
5022;56.95186607;8.943549;0;0;0
5023;56.95185709;8.943549;0;0;0
5024;56.95184811;8.943549;0;0;0
5025;56.95183914;8.943549;0;0;0
5026;56.95183016;8.943549;0;0;0
5027;56.95182119;8.943549;0;0;0
5028;56.95181221;8.943549;0;0;0
5029;56.95180324;8.943549;0;0;0
5030;56.95179426;8.943549;0;0;0
5031;56.95178528;8.943549;0;0;0
5032;56.95177631;8.943549;0;0;0
5033;56.95176733;8.943549;0;0;0
5034;56.95175836;8.943549;0;0;0
5035;56.95174938;8.943549;0;0;0
5036;56.95174041;8.943549;0;0;0
5037;56.95173143;8.943549;0;0;0
5038;56.95172245;8.943549;0;0;0
5039;56.95171348;8.943549;0;0;0
5040;56.9517045;8.943549;0;0;0
5041;56.95169553;8.943549;0;0;0
5042;56.95168655;8.943549;0;0;0
5043;56.95167758;8.943549;0;0;0
5044;56.9516686;8.943549;0;0;0
5045;56.95165962;8.943549;0;0;0
5046;56.95165065;8.943549;0;0;0
5047;56.95164167;8.943549;0;0;0
5048;56.9516327;8.943549;0;0;0
5049;56.95162372;8.943549;0;0;0
5050;56.95161475;8.943549;0;0;0
5051;56.95160577;8.943549;0;0;0
5052;56.95159679;8.943549;0;0;0
5053;56.95158782;8.943549;0;0;0
5054;56.95157884;8.943549;0;0;0
5055;56.95156987;8.943549;0;0;0
5056;56.95156089;8.943549;0;0;0
5057;56.95155192;8.943549;0;0;0
5058;56.95154294;8.943549;0;0;0
5059;56.95153397;8.943549;0;0;0
5060;56.95152499;8.943549;0;0;0
5061;56.95151601;8.943549;0;0;0
5062;56.95150704;8.943549;0;0;0
5063;56.95149806;8.943549;0;0;0
5064;56.95148909;8.943549;0;0;0
5065;56.95148011;8.943549;0;0;0
5066;56.95147114;8.943549;0;0;0
5067;56.95146216;8.943549;0;0;0
5068;56.95145318;8.943549;0;0;0
5069;56.95144421;8.943549;0;0;0
5070;56.95143523;8.943549;0;0;0
5071;56.95142626;8.943549;0;0;0
5072;56.95141728;8.943549;0;0;0
5073;56.95140831;8.943549;0;0;0
5074;56.95139933;8.943549;0;0;0
5075;56.95139035;8.943549;0;0;0
5076;56.95138138;8.943549;0;0;0
5077;56.9513724;8.943549;0;0;0
5078;56.95136343;8.943549;0;0;0
5079;56.95135445;8.943549;0;0;0
5080;56.95134548;8.943549;0;0;0
5081;56.9513365;8.943549;0;0;0
5082;56.95132752;8.943549;0;0;0
5083;56.95131855;8.943549;0;0;0
