,lat,lon,bm_dens,bm_size,bm_dead
1290,56.98536335,8.943549,0,0,0
1291,56.98535438,8.943549,0,0,0
1292,56.9853454,8.943549,0,0,0
1293,56.98533643,8.943549,0,0,0
1294,56.98532745,8.943549,0,0,0
1295,56.98531848,8.943549,0,0,0
1296,56.9853095,8.943549,0,0,0
1297,56.98530053,8.943549,0,0,0
1298,56.98529155,8.943549,0,0,0
1299,56.98528257,8.943549,0,0,0
1300,56.9852736,8.943549,0,0,0
1301,56.98526462,8.943549,0,0,0
1302,56.98525565,8.943549,0,0,0
1303,56.98524667,8.943549,0,0,0
1304,56.9852377,8.943549,0,0,0
1305,56.98522872,8.943549,0,0,0
1306,56.98521974,8.943549,0,0,0
1307,56.98521077,8.943549,0,0,0
1308,56.98520179,8.943549,0,0,0
1309,56.98519282,8.943549,0,0,0
1310,56.98518384,8.943549,0,0,0
1311,56.98517487,8.943549,0,0,0
1312,56.98516589,8.943549,0,0,0
1313,56.98515691,8.943549,0,0,0
1314,56.98514794,8.943549,0,0,0
1315,56.98513896,8.943549,0,0,0
1316,56.98512999,8.943549,0,0,0
1317,56.98512101,8.943549,0,0,0
1318,56.98511204,8.943549,0,0,0
1319,56.98510306,8.943549,0,0,0
1320,56.98509408,8.943549,0,0,0
1321,56.98508511,8.943549,0,0,0
1322,56.98507613,8.943549,0,0,0
1323,56.98506716,8.943549,0,0,0
1324,56.98505818,8.943549,0,0,0
1325,56.98504921,8.943549,0,0,0
1326,56.98504023,8.943549,0,0,0
1327,56.98503125,8.943549,0,0,0
1328,56.98502228,8.943549,0,0,0
1329,56.9850133,8.943549,0,0,0
1330,56.98500433,8.943549,0,0,0
1331,56.98499535,8.943549,0,0,0
1332,56.98498638,8.943549,0,0,0
1333,56.9849774,8.943549,0,0,0
1334,56.98496842,8.943549,0,0,0
1335,56.98495945,8.943549,0,0,0
1336,56.98495047,8.943549,0,0,0
1337,56.9849415,8.943549,0,0,0
1338,56.98493252,8.943549,0,0,0
1339,56.98492355,8.943549,0,0,0
1340,56.98491457,8.943549,0,0,0
1341,56.98490559,8.943549,0,0,0
1342,56.98489662,8.943549,0,0,0
1343,56.98488764,8.943549,0,0,0
1344,56.98487867,8.943549,0,0,0
1345,56.98486969,8.943549,0,0,0
1346,56.98486072,8.943549,0,0,0
1347,56.98485174,8.943549,0,0,0
1348,56.98484276,8.943549,0,0,0
1349,56.98483379,8.943549,0,0,0
1350,56.98482481,8.943549,0,0,0
1351,56.98481584,8.943549,0,0,0
1352,56.98480686,8.943549,0,0,0
1353,56.98479789,8.943549,0,0,0
1354,56.98478891,8.943549,0,0,0
1355,56.98477993,8.943549,0,0,0
1356,56.98477096,8.943549,0,0,0
1357,56.98476198,8.943549,0,0,0
1358,56.98475301,8.943549,0,0,0
1359,56.98474403,8.943549,0,0,0
1360,56.98473506,8.943549,0,0,0
1361,56.98472608,8.943549,0,0,0
1362,56.98471711,8.943549,0,0,0
1363,56.98470813,8.943549,0,0,0
1364,56.98469915,8.943549,0,0,0
1365,56.98469018,8.943549,0,0,0
1366,56.9846812,8.943549,0,0,0
1367,56.98467223,8.943549,0,0,0
1368,56.98466325,8.943549,0,0,0
1369,56.98465428,8.943549,0,0,0
1370,56.9846453,8.943549,0,0,0
1371,56.98463632,8.943549,0,0,0
1372,56.98462735,8.943549,0,0,0
1373,56.98461837,8.943549,0,0,0
1374,56.9846094,8.943549,0,0,0
1375,56.98460042,8.943549,0,0,0
1376,56.98459145,8.943549,0,0,0
1377,56.98458247,8.943549,0,0,0
1378,56.98457349,8.943549,0,0,0
1379,56.98456452,8.943549,0,0,0
1380,56.98455554,8.943549,0,0,0
1381,56.98454657,8.943549,0,0,0
1382,56.98453759,8.943549,0,0,0
1383,56.98452862,8.943549,0,0,0
1384,56.98451964,8.943549,0,0,0
1385,56.98451066,8.943549,0,0,0
1386,56.98450169,8.943549,0,0,0
1387,56.98449271,8.943549,0,0,0
1388,56.98448374,8.943549,0,0,0
1389,56.98447476,8.943549,0,0,0
1390,56.98446579,8.943549,0,0,0
1391,56.98445681,8.943549,0,0,0
1392,56.98444783,8.943549,0,0,0
1393,56.98443886,8.943549,0,0,0
1394,56.98442988,8.943549,0,0,0
1395,56.98442091,8.943549,0,0,0
1396,56.98441193,8.943549,0,0,0
